ÌØÕ÷¸öÊý,xgb,SVM,logistics,rf
5,0.958211856,0.942289499,0.898035547,0.955512573
6,0.966248795,0.967244701,0.898035547,0.963601533
7,0.971980676,0.970930233,0.912015137,0.969289827
8,0.969111969,0.972815534,0.916981132,0.970220941
9,0.966313763,0.979472141,0.914933837,0.970278044
10,0.973913043,0.978346457,0.913207547,0.973231358
11,0.970163619,0.978346457,0.920454545,0.969171484
12,0.968238691,0.978346457,0.924833492,0.96743295
13,0.973025048,0.977022977,0.923954373,0.968299712
14,0.973025048,0.971943888,0.918095238,0.973025048
15,0.976923077,0.971943888,0.921755725,0.972088547
